商品名称,单位,数量,比上年增长（%）,金额（亿元）,比上年增长（%）,来源文件,年份,表格编号
钢材,万吨,6690,24.6,5289,67.9,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,26
纺织纱线、织物及制品,—,—,—,9384,-12.2,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,26
服装及衣着附件,—,—,—,11000,15.6,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,26
鞋靴,万双,873231,18.1,3097,26.2,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,26
家具及其零件,—,—,—,4772,18.2,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,26
箱包及类似容器,万吨,244,21.4,1800,26.1,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,26
玩具,—,—,—,2980,28.6,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,26
塑料制品,—,—,—,6397,20.5,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,26
集成电路,亿个,3107,19.6,9930,23.4,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,26
自动数据处理设备及其零部件,—,—,—,16488,12.9,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,26
手机,万台,95420,-1.2,9447,9.3,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,26
集装箱,万个,484,144.0,1514,198.3,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,26
液晶显示板,万个,142439,12.4,1788,30.5,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,26
汽车（包括底盘）,万辆,212,95.9,2227,104.6,中华人民共和国2021年国民经济和社会发展统计公报 - 国家统计局.html,2021,26
