指标,金额（亿元）,比上年增长（%）,来源文件,年份,表格编号
货物进出口总额,438468,5.0,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,10
货物出口额,254545,7.1,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,10
其中：一般贸易,166466,8.5,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,10
加工贸易,50201,2.4,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,10
其中：机电产品,151246,8.7,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,10
高新技术产品,62792,6.0,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,10
货物进口额,183923,2.3,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,10
其中：一般贸易,114827,-1.9,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,10
加工贸易,28920,7.0,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,10
其中：机电产品,70095,7.3,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,10
高新技术产品,53584,11.9,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,10
货物进出口顺差,70623,22.2,中华人民共和国2024年国民经济和社会发展统计公报 - 国家统计局.html,2024,10
