指标,专利数（万件）,比上年增长（%）,来源文件,年份,表格编号
发明专利授权,104.5,13.5,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,17
其中：境内发明专利授权,93.2,14.6,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,17
实用新型专利授权,201.0,-3.9,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,17
外观设计专利授权,64.3,0.8,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,17
年末有效发明专利,568.9,14.0,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,17
其中：境内有效发明专利,468.2,16.6,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,17
年末有效实用新型专利,1165.7,-3.9,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,17
年末有效外观设计专利,307.4,-4.9,2018年国民经济和社会发展统计公报 - 国家统计局.html,2018,17
